mp-id,formula,n,band_gap,poly_total,poly_electronic
mp-9570,Ca(CdP)2,3.48,0.82,24.41,12.08
mp-9881,KAuSe,2.16,1.82,12.59,4.68
mp-8399,CsCdF3,1.61,3.29,10.11,2.59
mp-510281,FeCuO2,2.87,0.81,14.28,8.22
mp-29484,K4HgAs2,2.32,0.7,8.91,5.38
mp-30925,La(NO2)3,1.77,2.2,8.57,3.15
mp-34467,Zn(GaS2)2,2.46,1.89,9.5,6.04
mp-5967,TiCoSb,4.53,1.05,31.72,20.48
mp-11520,YNiSb,4.33,0.3,21.77,18.75
mp-19308,Li2NiO2,1.94,3.71,9.84,3.78
mp-558111,Rb2MnF6,1.47,3.3,5.91,2.16
mp-9143,LiPF6,1.37,7.54,6.05,1.88
mp-28405,S(ClO)2,1.48,3.65,3.46,2.18
mp-23072,BiBrO,2.43,2.27,46.77,5.9
mp-34127,K2NaAs,3.15,0.15,15.21,9.94
mp-9158,LiCuO2,2.87,0.38,17.01,8.22
mp-3589,BPO4,1.61,7.26,4.91,2.59
mp-4547,La2TeO2,2.55,2.03,22.08,6.5
mp-27850,TiNCl,2.93,0.56,59.43,8.57
mp-38117,Ba(GaTe2)2,2.95,0.53,13.48,8.72
mp-10492,Rb2SiF6,1.37,6.99,5.57,1.88
mp-36582,NaHS,1.82,3.15,8.73,3.3
mp-7929,Rb2PtS2,2.3,1.25,9.64,5.29
mp-19340,LiVO2,2.19,1.79,16.34,4.8
mp-9687,K2PAu,2.58,0.95,16.02,6.64
mp-12814,Ba3SbN,3.32,0.71,41.81,11.03
mp-3277,BAsO4,1.75,4.26,5.8,3.06
mp-30055,Rb3BrO,1.86,0.41,23.09,3.46
mp-4809,Ga2HgS4,2.58,1.57,12.24,6.65
mp-14206,K3Ag3As2,2.81,1.25,14.59,7.9
mp-9845,RbCaAs,2.44,1.3,13.45,5.94
mp-14791,Ge2Te5As2,8.04,0.41,79.7,64.62
mp-9437,NbFeSb,4.98,0.51,45.23,24.82
mp-24517,Rb2CaH4,1.72,3.3,10.11,2.96
mp-540570,MgVO3,1.82,2.69,6.49,3.31
mp-19156,BaMnO3,2.27,1.92,15.51,5.15
mp-8547,PdPtF6,2.52,0.77,8.18,6.34
mp-4226,LiCrS2,3.2,0.65,17.6,10.24
mp-14116,CuRhO2,3.49,0.96,13.71,12.16
mp-23859,CaHCl,1.94,3.84,10.95,3.77
mp-10161,KZnSb,4.91,0.35,29.0,24.12
mp-5342,GaAgS2,2.68,0.96,10.49,7.2
mp-9775,NaSrAs,3.0,0.81,19.25,9.02
mp-19833,InAgS2,3.05,0.38,13.08,9.33
mp-31235,BaNaBi,3.91,0.24,24.3,15.27
mp-23862,BaHI,2.11,2.82,10.65,4.44
mp-10223,Na2PdS2,2.6,0.95,12.58,6.77
mp-20930,InCuO2,2.35,0.24,8.98,5.52
mp-10166,NaAlSe2,2.36,2.15,14.66,5.58
mp-4586,LiAlTe2,2.48,2.44,8.38,6.14
mp-27421,RbBiF6,1.48,2.62,6.62,2.18
mp-8405,Li3LaSb2,4.03,0.2,31.22,16.21
mp-2918,YCuO2,2.21,2.65,11.73,4.88
mp-557397,K2MnF6,1.48,3.27,6.62,2.18
mp-8147,K2As2Pd,2.93,0.65,13.1,8.58
mp-30459,ScNiBi,4.79,0.18,26.98,22.95
mp-864954,MgMoN2,3.43,0.74,16.04,11.79
mp-14088,Rb2PdF6,1.5,2.26,6.0,2.25
mp-690794,Sr2HN,2.37,1.81,21.47,5.6
mp-7128,Cd(AsO3)2,2.05,1.93,11.72,4.21
mp-13948,Cs2HfF6,1.49,7.23,9.4,2.22
mp-23060,Cs2PtI6,2.19,0.65,9.61,4.8
mp-766862,Li2VF6,1.61,1.93,10.95,2.6
mp-9778,K2AgP,2.59,1.23,11.84,6.72
mp-690785,Na2H6Pt,1.8,3.61,7.51,3.23
mp-8192,Rb2PtF6,1.53,2.64,6.99,2.36
mp-14092,AlAgTe2,2.97,1.05,10.95,8.83
mp-3038,Al2HgSe4,2.68,1.43,12.09,7.19
mp-578614,NaCrO2,2.07,2.91,9.28,4.29
mp-22965,BiTeI,3.16,1.27,23.74,9.96
mp-7176,RbLaSe2,2.26,2.32,13.09,5.12
mp-27176,NaMnCl3,1.75,2.28,8.55,3.07
mp-9361,RbLaS2,2.15,2.68,13.28,4.61
mp-5588,BaSiF6,1.48,7.42,8.78,2.19
mp-30058,TlSbO3,2.0,2.43,9.31,4.01
mp-23860,SrHCl,1.87,4.04,9.76,3.51
mp-605034,K2NiF6,1.52,2.36,5.56,2.3
mp-568032,Cd(InSe2)2,2.77,0.87,11.76,7.67
mp-696944,LaHBr2,2.0,3.6,7.08,3.99
mp-16238,Li2AgSb,14.58,0.14,232.6,212.61
mp-4405,Rb3AuO,2.53,0.21,22.44,6.41
mp-3486,KSnSb,3.53,0.26,15.55,12.47
